Sysdig Container CPU Quota Used Percent,Sysdig Container File In IOPS,Sysdig Container Net HTTP Request Count,JMX JVM Heap Used,Sysdig Container Syscall Error Count,Sysdig Program Net Error Count,Sysdig Container Net HTTP Error Count,Sysdig Container Memory Limit Used Percent,Timestamp
1.905,6.2,1,48841696,0,0,0,27.267266,1699053630
1.744001,5.4,1,34493884.8,0,0,0,27.238282,1699053640
1.675,5,1,35346160,0,0,0,27.243282,1699053650
1.713,4.8,1,36351830.4,0,0,0,27.244532,1699053660
1.908,6.2,1,37257865.6,0,0,0,27.245938,1699053670
1.704,5.8,1,38237628.8,0,0,0,27.246094,1699053680
1.837001,6,1,39107953.777778,0,0,0,27.246094,1699053690
2.111,6.2,1,40218382,0,0,0,27.31625,1699053700
1.845,5.4,1,41252324.8,0,0,0,27.325782,1699053710
1.569,5.2,1,42162456,0,0,0,27.325782,1699053720
1.512,5.4,1,43220862.4,0,0,0,27.325782,1699053730
1.576,5.4,1,44116657.6,0,0,0,27.325782,1699053740
11.908,5.8,1,38364956.444445,0,0,0,27.287188,1699053750
1.575,6.8,1,34066208,0,0,0,27.289375,1699053760
1.321001,5,1,35039417.6,0,0,0,27.246875,1699053770
1.307,5.4,1,35913504,0,0,0,27.246875,1699053780
1.282,4.8,1,36844524.8,0,0,0,27.246875,1699053790
1.319,6.2,1,37798892.8,0,0,0,27.246875,1699053800
1.477,5.8,0,38729094.4,0,0,0,27.246875,1699053810
1.381,5.4,1,40606700.8,0,0,0,27.246875,1699053830
1.779,7,1,41584825.6,0,0,0,27.249688,1699053840
2.684,10.8,1,42469971.2,0,0,0,27.252735,1699053850
6.632,11.8,1,43432940.8,0,0,0,27.607579,1699053860
2.888,9.4,1,44335289.6,0,0,0,27.263282,1699053870
2.276001,9.2,1,45128684.8,0,0,0,27.263282,1699053880
2.023,8.2,1,46142035.2,0,0,0,27.263282,1699053890
1.291,5.4,1,46960006.4,0,0,0,27.263282,1699053900
1.372,5.2,1,47922156.8,0,0,0,27.263282,1699053910
1.357,5.4,1,48880620.8,0,0,0,27.263282,1699053920
1.5,6.2,1,49740780.8,0,0,0,27.263282,1699053930
1.382001,4.8,1,50613638.4,0,0,0,27.263282,1699053940
1.527,5.4,1,51513120,0,0,0,27.263282,1699053950
1.622,6.2,1,52585043.2,0,0,0,27.264688,1699053960
1.339,6,1,53505004.8,0,0,0,27.264844,1699053970
1.363,5.4,1,54415955.2,0,0,0,27.264844,1699053980
1.315,5.2,1,55375238.4,0,0,0,27.264844,1699053990
1.271001,4.8,1,56245638.4,0,0,0,27.264844,1699054000
1.279,5.4,1,57172972.8,0,0,0,27.264844,1699054010
1.432,5.8,1,58090067.2,0,0,0,27.264844,1699054020
1.446001,4.8,1,59017401.6,0,0,0,27.264844,1699054030
1.588,5.4,1,59895584,0,0,0,27.264844,1699054040
1.501,5.4,1,60831110.4,0,0,0,27.264844,1699054050
1.475,4.8,1,61733868.8,0,0,0,27.264844,1699054060
3.419,5.8,1,59590991.2,0,0,0,27.264844,1699054070
1.312,5.4,1,33694148.8,0,0,0,27.264844,1699054080
1.292,4.4,1,34599364.8,0,0,0,27.264844,1699054090
1.294,5,1,35507627.2,0,0,0,27.264844,1699054100
1.769001,6.2,1,36434411.2,0,0,0,27.264844,1699054110
1.259,4.8,1,37367070.4,0,0,0,27.264844,1699054120
1.267,5,1,38273924.8,0,0,0,27.264844,1699054130
1.275,5.4,1,39193067.2,0,0,0,27.264844,1699054140
1.412,6.4,1,40102788.8,0,0,0,27.278516,1699054150
1.355,5,1,40981289.777778,0,0,0,27.264844,1699054160
1.285,5.4,1,41924689.6,0,0,0,27.264844,1699054170
1.264,4.8,1,42850795.2,0,0,0,27.264844,1699054180
1.292,5,1,43694571.2,0,0,0,27.264844,1699054190
1.305001,5.4,1,44695633.6,0,0,0,27.264844,1699054200
1.307,5.2,1,45665976,0,0,0,27.264844,1699054210
1.262,4.6,1,46517668.8,0,0,0,27.264844,1699054220
1.404,5.4,1,47470958.4,0,0,0,27.264844,1699054230
1.335,5.6,1,48312641.6,0,0,0,27.264844,1699054240
1.289001,5.8,1,49229950.4,0,0,0,27.264844,1699054250
1.315,6.2,1,50193216,0,0,0,27.264844,1699054260
1.277,5.6,1,51082867.2,0,0,0,27.264844,1699054270
1.466,6.2,1,51945532.8,0,0,0,27.266954,1699054280
1.337,7,1,52936853.6,0,0,0,27.267422,1699054290
1.343,5.6,1,53762341.333334,0,0,0,27.267969,1699054300
1.591,7,1,54851347.555556,0,0,0,27.267969,1699054310
1.385,5,1,55587316,0,0,0,27.267969,1699054320
1.429,4.8,1,56550653.6,0,0,0,27.267969,1699054330
1.55,6.2,1,57416072,0,0,0,27.267969,1699054340
1.428,5,1,58335835.2,0,0,0,27.267969,1699054350
1.664001,5.6,1,59232206.4,0,0,0,27.267969,1699054360
1.74,6.2,1,60187520,0,0,0,27.269376,1699054370
1.822,5.8,1,61051597.6,0,0,0,27.271641,1699054380
1.713,6,1,61910440,0,0,0,27.274688,1699054390
1.55,6.4,1,59805585.6,0,0,0,27.275,1699054400
1.543,5.4,1,33718126.4,0,0,0,27.275,1699054410
1.506,5.6,1,34609006.4,0,0,0,27.275704,1699054420
1.449,5,1,36456712,0,0,0,27.276563,1699054440
1.417,4.8,1,37369710.4,0,0,0,27.276563,1699054450
1.404,5.4,1,38318344,0,0,0,27.276563,1699054460
1.445,5,1,39223969.6,0,0,0,27.276563,1699054470
1.485,5.6,1,40099284.8,0,0,0,27.276563,1699054480
1.44,5.4,1,41040136,0,0,0,27.276563,1699054490
1.41,5,1,41941665.6,0,0,0,27.276563,1699054500
1.406001,4.8,1,42819438.4,0,0,0,27.276563,1699054510
1.462,5.4,1,43823368,0,0,0,27.276563,1699054520
1.48,5,1,44640520,0,0,0,27.276563,1699054530
1.504,4.8,1,45560891.2,0,0,0,27.276563,1699054540
1.681,5.4,1,46536148.8,0,0,0,27.276563,1699054550
1.686,5,1,47426619.2,0,0,0,27.276563,1699054560
1.675,4.8,1,48260155.2,0,0,0,27.276563,1699054570
1.581,7,1,49260808,0,0,0,27.276563,1699054580
2.462,8,1,50126702.4,0,0,0,27.279297,1699054590
1.509,6,1,51006932.8,0,0,0,27.288282,1699054600
1.367,5.4,1,51867400,0,0,0,27.288282,1699054610
1.691,5.4,1,52828424,0,0,0,27.288282,1699054620
1.681,4.8,1,53680392,0,0,0,27.288282,1699054630
1.685,5.8,1,54519252.8,0,0,0,27.288282,1699054640
1.659,5,1,55496558.4,0,0,0,27.288985,1699054650
1.603001,5.2,1,56348526.4,0,0,0,27.289063,1699054660
1.642001,4.6,1,57305352,0,0,0,27.289063,1699054670
1.542,5,1,58161416,0,0,0,27.289063,1699054680
1.522,5.2,1,59161659.2,0,0,0,27.289063,1699054690
1.519,4.6,1,60000520,0,0,0,27.289063,1699054700
1.565,5.4,1,60839380.8,0,0,0,27.289063,1699054710
1.585,5.6,1,61713876.8,0,0,0,27.289063,1699054720
1.561,4.6,1,62739105.6,0,0,0,27.289063,1699054730
1.561,4.6,1,62739105.6,0,0,0,27.289063,1699054730
1.756,5.6,1,39448520,0,0,0,27.289063,1699054740
1.592,5.2,1,34351480,0,0,0,27.289063,1699054750
1.506,4.6,1,35262430.4,0,0,0,27.289063,1699054760
1.49,5.4,1,36156587.2,0,0,0,27.289063,1699054770
1.511,5.6,1,37079825.6,0,0,0,27.289063,1699054780
1.674,5,1,38028868.8,0,0,0,27.289063,1699054790
1.571001,5.4,1,38911966.4,0,0,0,27.289063,1699054800
1.718,4.8,1,39828241.6,0,0,0,27.289063,1699054810
1.605,5.4,1,40751070.4,0,0,0,27.289063,1699054820
1.679,5.4,1,41622699.2,0,0,0,27.289063,1699054830
1.592,4.4,1,42611473.6,0,0,0,27.289063,1699054840
1.516,5.4,1,43473681.6,0,0,0,27.289063,1699054850
1.607,4.6,1,44373572.8,0,0,0,27.289063,1699054860
1.699,4.8,1,45302955.2,0,0,0,27.289063,1699054870
1.562,5,1,46216772.8,0,0,0,27.289063,1699054880
1.58,5.4,1,47174434.4,0,0,0,27.289688,1699054890
1.761,6,1,48115292.8,0,0,0,27.289844,1699054900
1.479,5.8,1,49032387.2,0,0,0,27.290547,1699054910
1.276,5.8,1,49899100.8,0,0,0,27.290626,1699054920
1.273001,4.8,1,50853468.8,0,0,0,27.290626,1699054930
1.353,6.2,1,51767696,0,0,0,27.291329,1699054940
1.281001,5.8,1,52642601.6,0,0,0,27.29211,1699054950
1.464,5.2,1,53548636.8,0,0,0,27.292188,1699054960
1.374,5.4,1,54415350.4,0,0,0,27.292188,1699054970
1.687,7,1,55345961.6,0,0,0,27.294063,1699054980
1.351,4.4,1,56224144,0,0,0,27.295313,1699054990
1.464,5.4,1,57158032,0,0,0,27.295313,1699055000
1.507001,6.2,1,58118953.6,0,0,0,27.296016,1699055010
1.562,5.2,1,58954537.6,0,0,0,27.296797,1699055020
1.67,5.6,1,61694601.6,0,0,0,27.301875,1699055050
1.423,6.2,1,62494140.8,0,0,0,27.302344,1699055060
1.521001,6.8,1,45332318.4,0,0,0,27.30375,1699055070
1.647,6,1,34160526.4,0,0,0,27.316563,1699055080
1.632001,6.2,1,35075163.2,0,0,0,27.34336,1699055090
1.514,7,1,36025025.6,0,0,0,27.346563,1699055100
1.787001,5.2,1,36919592,0,0,0,27.352501,1699055110
3.724,6.2,1,37895259.2,0,0,0,27.459922,1699055120
1.27,4.6,1,38779995.2,0,0,0,27.365625,1699055130
1.242,4.8,1,39673742.4,0,0,0,27.365625,1699055140
1.231,4.2,1,40576500.8,0,0,0,27.365625,1699055150
1.254,6.2,1,41498920,0,0,0,27.365625,1699055160
1.208,5.2,1,42433217.6,0,0,0,27.365625,1699055170
1.281001,4.6,1,43356865.6,0,0,0,27.365625,1699055180
1.252,5.6,1,44168692.8,0,0,0,27.365625,1699055190
1.349,5.2,1,45125928,0,0,0,27.365625,1699055200
1.295,4.2,1,46112654.4,0,0,0,27.365625,1699055210
1.704,5.4,1,46876968,0,0,0,27.365625,1699055220
1.436,5.6,1,47885403.2,0,0,0,27.365625,1699055230
1.433,4.2,1,48733275.2,0,0,0,27.365625,1699055240
1.423,5.4,1,49637672,0,0,0,27.365625,1699055250
1.471,5.6,1,50538792,0,0,0,27.365625,1699055260
1.388001,4.2,1,51476366.4,0,0,0,27.365625,1699055270
1.383,5.4,1,52420494.4,0,0,0,27.365625,1699055280
1.395,5.6,1,53246248,0,0,0,27.365625,1699055290
1.426,4.2,1,54250587.2,0,0,0,27.365625,1699055300
1.442,5.4,1,55123854.4,0,0,0,27.365625,1699055310
1.388001,5.6,1,55949608,0,0,0,27.365625,1699055320
1.434,4.6,1,56840488,0,0,0,27.365625,1699055330
1.435,5.4,1,57814926.4,0,0,0,27.365625,1699055340
1.412,5.2,1,58666894.4,0,0,0,27.365625,1699055350
1.408,4.6,1,59584398.4,0,0,0,27.365625,1699055360
1.399,5.4,1,60520744,0,0,0,27.365625,1699055370
1.493,5.2,1,61470196.8,0,0,0,27.365625,1699055380
1.687,4.6,1,62376232,0,0,0,27.365625,1699055390
1.644001,5.6,1,45231171.2,0,0,0,27.365625,1699055400
1.441,5.2,1,34172774.4,0,0,0,27.365625,1699055410
1.465,4.2,1,35068979.2,0,0,0,27.365625,1699055420
1.445,5.4,1,36053248,0,0,0,27.365625,1699055430
1.380001,5.6,1,36870400,0,0,0,27.365625,1699055440
1.529,4.2,1,37890713.6,0,0,0,27.365625,1699055450
1.432,5.4,1,38794291.2,0,0,0,27.365625,1699055460
1.438001,5.6,1,39653632,0,0,0,27.365625,1699055470
1.433,5,1,40652828.444445,0,0,0,27.365625,1699055480
1.546,7,1,41599248.8,0,0,0,27.374844,1699055490
1.417,4.8,1,42613016,0,0,0,27.365625,1699055500
1.475,5,1,43440863.111112,0,0,0,27.366172,1699055510
1.25,5.4,1,44411160,0,0,0,27.366407,1699055520
